單位名稱,連絡電話,區域別,縣市,經緯度,百步蛇,雨傘節,飯匙倩蛇,龜殼花,赤尾鮐蛇,鎖鏈蛇
衛生福利部花蓮醫院,03-8358141#3131,東區,花蓮縣,"23.979363564149473, 121.61115971471",0.0,1.0,1.0,1.0,1.0,0.0
衛生福利部金門醫院,082-332546#11354,台北區,金門縣,"24.44133108425797, 118.41895109788915",1.0,1.0,1.0,1.0,1.0,0.0
衛生福利部南投醫院,049-2231150#1253,中區,南投縣,"23.914056923592337, 120.68492164021146",0.0,1.0,1.0,1.0,1.0,0.0
衛生福利部屏東醫院,08-7363011#2025,高屏區,屏東縣,"22.67351298383201, 120.49565307088237",0.0,1.0,1.0,1.0,1.0,1.0
衛生福利部恆春旅遊醫院,08-8892704#2105,高屏區,屏東縣,"21.999129985485553, 120.74483552669696",1.0,1.0,1.0,1.0,1.0,1.0
衛生福利部苗栗醫院,037-261920#2012,北區,苗栗縣,"24.575573498091323, 120.8413274825482",0.0,1.0,1.0,1.0,1.0,0.0
衛生福利部桃園醫院,03-3699721#2006,北區,桃園市,"24.978196109355704, 121.26852342488193",0.0,1.0,1.0,1.0,1.0,0.0
衛生福利部桃園醫院新屋分院,03-4971989#5142,北區,桃園市,"24.96983373400704, 121.10709512488174",0.0,1.0,1.0,1.0,1.0,0.0
衛生福利部基隆醫院,02-24292525#5101,台北區,基隆市,"25.130691890033752, 121.7484538978977",0.0,1.0,1.0,1.0,1.0,0.0
衛生福利部彰化醫院,04-8298686#1731,中區,彰化縣,"23.950435039546676, 120.52738010952683",0.0,1.0,1.0,1.0,1.0,0.0
衛生福利部旗山醫院,07-6613811#1002,高屏區,高雄市,"22.880713877609445, 120.48336448437777",0.0,1.0,1.0,1.0,1.0,1.0
衛生福利部臺北醫院,02-22765566#2056,台北區,新北市,"25.042971767185552, 121.45889061084284",0.0,1.0,1.0,1.0,1.0,0.0
衛生福利部臺東醫院,089-324112#1712,東區,台東縣,"22.757343614856993, 121.14995676903402",0.0,0.0,0.0,1.0,1.0,1.0
衛生福利部臺東醫院成功分院,089-854748#1107,東區,台東縣,"23.099457896854048, 121.37812178438026",0.0,0.0,0.0,1.0,1.0,1.0
衛生福利部樂生療養院,02-82006600#2012,台北區,新北市,"25.020377607435908, 121.40793892118339",0.0,1.0,1.0,1.0,1.0,0.0
衛生福利部澎湖醫院,06-9261151#50105,高屏區,澎湖縣,"23.564376089743256, 119.56580451322128",0.0,1.0,1.0,0.0,0.0,0.0
衛生福利部豐原醫院,04-25271180#1061,中區,台中市,"24.242523484353562, 120.72526331137976",0.0,1.0,1.0,1.0,1.0,0.0
衛生福利部雙和醫院(委託臺北醫學大學興建經營),02-22490088,台北區,新北市,"24.992734245237962, 121.49359791508789",1.0,1.0,1.0,1.0,1.0,0.0
戴德森醫療財團法人嘉義基督教醫院,05-2765041#2038,南區,嘉義市,"23.499304843111496, 120.45009062143862",1.0,1.0,1.0,1.0,1.0,0.0
聯新國際醫院,03-4941234#2191,北區,桃園市,"24.946760278892118, 121.20530059789527",0.0,1.0,1.0,1.0,1.0,0.0
醫療財團法人羅許基金會羅東博愛醫院,03-9543131,台北區,宜蘭縣,"24.671781483033243, 121.77287592487815",1.0,0.0,0.0,1.0,1.0,0.0
