物資分類,單位名稱,連絡電話,區域別,縣市,經緯度
抗龜殼花及赤尾鮐蛇毒血清,振興醫療財團法人振興醫院,02-28264400#5640,台北區,台北市,"25.1164170587741, 121.52282276324017"
抗百步蛇毒血清,桃園市八德區衛生所,03-3662781#319,北區,桃園市,"24.947595806206117, 121.29858345556663"
抗雨傘節及飯匙倩蛇毒血清,桃園市八德區衛生所,03-3662781#319,北區,桃園市,"24.947595806206117, 121.29858345556663"
抗龜殼花及赤尾鮐蛇毒血清,桃園市八德區衛生所,03-3662781#319,北區,桃園市,"24.947595806206117, 121.29858345556663"
抗百步蛇毒血清,桃園市大園區衛生所,03-3862024,北區,桃園市,"25.063595162881303, 121.1953795267323"
抗雨傘節及飯匙倩蛇毒血清,桃園市大園區衛生所,03-3862024,北區,桃園市,"25.063595162881303, 121.1953795267323"
抗龜殼花及赤尾鮐蛇毒血清,桃園市大園區衛生所,03-3862024,北區,桃園市,"25.063595162881303, 121.1953795267323"
抗百步蛇毒血清,桃園市大溪區衛生所,03-3882401#304,北區,桃園市,"24.884595944238423, 121.28554964207277"
抗雨傘節及飯匙倩蛇毒血清,桃園市大溪區衛生所,03-3882401#304,北區,桃園市,"24.884595944238423, 121.28554964207277"
抗龜殼花及赤尾鮐蛇毒血清,桃園市大溪區衛生所,03-3882401#304,北區,桃園市,"24.884595944238423, 121.28554964207277"
抗百步蛇毒血清,桃園市復興區衛生所,03-3822325#308,北區,桃園市,"24.8150276956161, 121.3510977015926"
抗雨傘節及飯匙倩蛇毒血清,桃園市復興區衛生所,03-3822325#308,北區,桃園市,"24.8150276956161, 121.3510977015926"
抗龜殼花及赤尾鮐蛇毒血清,桃園市復興區衛生所,03-3822325#308,北區,桃園市,"24.8150276956161, 121.3510977015926"
抗百步蛇毒血清,桃園市新屋區衛生所,03-4772196#30,北區,桃園市,"24.972690596704805, 121.1066570997451"
抗百步蛇毒血清,桃園市蘆竹區衛生所,03-3524732,北區,桃園市,"25.06324823097637, 121.28039064207492"
抗雨傘節及飯匙倩蛇毒血清,桃園市蘆竹區衛生所,03-3524732,北區,桃園市,"25.06324823097637, 121.28039064207492"
抗龜殼花及赤尾鮐蛇毒血清,桃園市蘆竹區衛生所,03-3524732,北區,桃園市,"25.06324823097637, 121.28039064207492"
抗百步蛇毒血清,桃園市觀音區衛生所,03-4732031#217,北區,桃園市,"25.02776509830933, 121.0832744383757"
抗雨傘節及飯匙倩蛇毒血清,桃園市觀音區衛生所,03-4732031#217,北區,桃園市,"25.02776509830933, 121.0832744383757"
抗龜殼花及赤尾鮐蛇毒血清,桃園市觀音區衛生所,03-4732031#217,北區,桃園市,"25.02776509830933, 121.0832744383757"
抗百步蛇毒血清,疾病管制署檢驗及疫苗研製中心,02-27850513#807,台北區,台北市,"25.049350861466486, 121.5949885844037"
抗雨傘節及飯匙倩蛇毒血清,疾病管制署檢驗及疫苗研製中心,02-27850513#807,台北區,台北市,"25.049350861466486, 121.5949885844037"
抗龜殼花及赤尾鮐蛇毒血清,疾病管制署檢驗及疫苗研製中心,02-27850513#807,台北區,台北市,"25.049350861466486, 121.5949885844037"
抗鎖鏈蛇毒血清,疾病管制署檢驗及疫苗研製中心,02-27850513#807,台北區,台北市,"25.049350861466486, 121.5949885844037"
抗龜殼花及赤尾鮐蛇毒血清,財團法人佛教慈濟綜合醫院大林分院,05-2648000#5358,南區,嘉義縣,"23.596091902689825, 120.45745973041372"
抗百步蛇毒血清,財團法人私立高雄醫學大學附設中和紀念醫院,07-3121101#7174,高屏區,高雄市,"22.646241318094358, 120.30958292670387"
抗雨傘節及飯匙倩蛇毒血清,財團法人私立高雄醫學大學附設中和紀念醫院,07-3121101#7174,高屏區,高雄市,"22.646241318094358, 120.30958292670387"
抗龜殼花及赤尾鮐蛇毒血清,財團法人私立高雄醫學大學附設中和紀念醫院,07-3121101#7174,高屏區,高雄市,"22.646241318094358, 120.30958292670387"
抗鎖鏈蛇毒血清,財團法人私立高雄醫學大學附設中和紀念醫院,07-3121101#7174,高屏區,高雄市,"22.646241318094358, 120.30958292670387"
抗雨傘節及飯匙倩蛇毒血清,財團法人奇美醫院柳營分院,06-6226999#72531,南區,台南市,"23.28956295088482, 120.32548161321813"
抗龜殼花及赤尾鮐蛇毒血清,財團法人奇美醫院柳營分院,06-6226999#72531,南區,台南市,"23.28956295088482, 120.32548161321813"
抗雨傘節及飯匙倩蛇毒血清,財團法人為恭紀念醫院,037-676811#88311,北區,苗栗縣,"24.688120939277958, 120.90757243467486"
抗龜殼花及赤尾鮐蛇毒血清,財團法人為恭紀念醫院,037-676811#88311,北區,苗栗縣,"24.688120939277958, 120.90757243467486"
抗龜殼花及赤尾鮐蛇毒血清,財團法人埔里基督教醫院,049-2912151#1012,中區,南投縣,"23.970558495495474, 120.9462825155996"
抗雨傘節及飯匙倩蛇毒血清,財團法人徐元智先生醫藥基金會附設亞東紀念醫院,02-89667000#2886,台北區,新北市,"24.997272383994012, 121.45296593200658"
抗龜殼花及赤尾鮐蛇毒血清,財團法人徐元智先生醫藥基金會附設亞東紀念醫院,02-89667000#2886,台北區,新北市,"24.997272383994012, 121.45296593200658"
抗雨傘節及飯匙倩蛇毒血清,財團法人基督長老教會馬偕紀念醫院淡水分院,02-28094661#2258,台北區,新北市,"25.141908316697958, 121.45928908151667"
抗龜殼花及赤尾鮐蛇毒血清,財團法人基督長老教會馬偕紀念醫院淡水分院,02-28094661#2258,台北區,新北市,"25.141908316697958, 121.45928908151667"
抗百步蛇毒血清,高雄市六龜區衛生所,07-6892844,高屏區,高雄市,"22.99879225788908, 120.63345965924253"
抗雨傘節及飯匙倩蛇毒血清,高雄市六龜區衛生所,07-6892844,高屏區,高雄市,"22.99879225788908, 120.63345965924253"
抗龜殼花及赤尾鮐蛇毒血清,高雄市六龜區衛生所,07-6892844,高屏區,高雄市,"22.99879225788908, 120.63345965924253"
抗百步蛇毒血清,高雄市甲仙區衛生所,07-6751029,高屏區,高雄市,"23.08387841313679, 120.58728408438002"
抗雨傘節及飯匙倩蛇毒血清,高雄市甲仙區衛生所,07-6751029,高屏區,高雄市,"23.08387841313679, 120.58728408438002"
抗龜殼花及赤尾鮐蛇毒血清,高雄市甲仙區衛生所,07-6751029,高屏區,高雄市,"23.08387841313679, 120.58728408438002"
抗雨傘節及飯匙倩蛇毒血清,高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),07-2911101#8375,高屏區,高雄市,"22.627222742493366, 120.29729391136118"
抗龜殼花及赤尾鮐蛇毒血清,高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),07-2911101#8375,高屏區,高雄市,"22.627222742493366, 120.29729391136118"
抗百步蛇毒血清,高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),07-8036783#3042,高屏區,高雄市,"22.568072166355087, 120.36331914019621"
抗雨傘節及飯匙倩蛇毒血清,高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),07-8036783#3042,高屏區,高雄市,"22.568072166355087, 120.36331914019621"
抗龜殼花及赤尾鮐蛇毒血清,高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),07-8036783#3042,高屏區,高雄市,"22.568072166355087, 120.36331914019621"
抗鎖鏈蛇毒血清,高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),07-8036783#3042,高屏區,高雄市,"22.568072166355087, 120.36331914019621"
抗百步蛇毒血清,高雄市那瑪夏區衛生所,07-6701142,高屏區,高雄市,"23.247130540433496, 120.70237182856012"
抗雨傘節及飯匙倩蛇毒血清,高雄市那瑪夏區衛生所,07-6701142,高屏區,高雄市,"23.247130540433496, 120.70237182856012"
抗龜殼花及赤尾鮐蛇毒血清,高雄市那瑪夏區衛生所,07-6701142,高屏區,高雄市,"23.247130540433496, 120.70237182856012"
抗鎖鏈蛇毒血清,高雄市那瑪夏區衛生所,07-6701142,高屏區,高雄市,"23.247130540433496, 120.70237182856012"
抗百步蛇毒血清,高雄市茂林區衛生所,07-6801046#26,高屏區,高雄市,"22.886541280043886, 120.66409955554226"
抗雨傘節及飯匙倩蛇毒血清,高雄市茂林區衛生所,07-6801046#26,高屏區,高雄市,"22.886541280043886, 120.66409955554226"
抗龜殼花及赤尾鮐蛇毒血清,高雄市茂林區衛生所,07-6801046#26,高屏區,高雄市,"22.886541280043886, 120.66409955554226"
抗百步蛇毒血清,高雄市桃源區衛生所,07-6861126#200,高屏區,高雄市,"23.158387528117384, 120.7644600169155"
抗雨傘節及飯匙倩蛇毒血清,高雄市桃源區衛生所,07-6861126#200,高屏區,高雄市,"23.158387528117384, 120.7644600169155"
抗龜殼花及赤尾鮐蛇毒血清,高雄市桃源區衛生所,07-6861126#200,高屏區,高雄市,"23.158387528117384, 120.7644600169155"
抗鎖鏈蛇毒血清,高雄市桃源區衛生所,07-6861126#200,高屏區,高雄市,"23.158387528117384, 120.7644600169155"
抗百步蛇毒血清,高雄榮民總醫院,07-3422121#5101,高屏區,高雄市,"22.680546283798805, 120.3220565542373"
抗雨傘節及飯匙倩蛇毒血清,高雄榮民總醫院,07-3422121#5101,高屏區,高雄市,"22.680546283798805, 120.3220565542373"
抗龜殼花及赤尾鮐蛇毒血清,高雄榮民總醫院,07-3422121#5101,高屏區,高雄市,"22.680546283798805, 120.3220565542373"
抗百步蛇毒血清,高雄榮民總醫院屏東分院,08-7704115#725,高屏區,屏東縣,"22.674744974952112, 120.59901245369032"
抗雨傘節及飯匙倩蛇毒血清,高雄榮民總醫院屏東分院,08-7704115#725,高屏區,屏東縣,"22.674744974952112, 120.59901245369032"
抗龜殼花及赤尾鮐蛇毒血清,高雄榮民總醫院屏東分院,08-7704115#725,高屏區,屏東縣,"22.674744974952112, 120.59901245369032"
抗龜殼花及赤尾鮐蛇毒血清,國仁醫院,08-7223000#7228,高屏區,屏東縣,"22.65849319887624, 120.51452754019715"
抗龜殼花及赤尾鮐蛇毒血清,國立台灣大學醫學院附設醫院金山分院,02-24989898#1008,台北區,新北市,"25.21979603818298, 121.62846337091263"
抗雨傘節及飯匙倩蛇毒血清,國立台灣大學醫學院附設醫院雲林分院(斗六院區),05-5323911#2001,南區,雲林縣,"23.696663448375226, 120.52617782856528"
抗龜殼花及赤尾鮐蛇毒血清,國立台灣大學醫學院附設醫院雲林分院(斗六院區),05-5323911#2001,南區,雲林縣,"23.696663448375226, 120.52617782856528"
抗雨傘節及飯匙倩蛇毒血清,國立成功大學醫學院附設醫院,06-2353535#4526,南區,台南市,"23.003571590388585, 120.21988668342395"
抗龜殼花及赤尾鮐蛇毒血清,國立成功大學醫學院附設醫院,06-2353535#4526,南區,台南市,"23.003571590388585, 120.21988668342395"
抗雨傘節及飯匙倩蛇毒血清,國立成功大學醫學院附設醫院斗六分院,05-5332121#6322,南區,雲林縣,"23.702166677196114, 120.54572617856547"
抗龜殼花及赤尾鮐蛇毒血清,國立成功大學醫學院附設醫院斗六分院,05-5332121#6322,南區,雲林縣,"23.702166677196114, 120.54572617856547"
抗雨傘節及飯匙倩蛇毒血清,國立陽明大學附設醫院,03-9325192#10301,台北區,宜蘭縣,"24.75820567837426, 121.75408810160093"
抗龜殼花及赤尾鮐蛇毒血清,國立陽明大學附設醫院,03-9325192#10301,台北區,宜蘭縣,"24.75820567837426, 121.75408810160093"
抗百步蛇毒血清,國立臺灣大學醫學院附設醫院,02-23123456#62237,台北區,台北市,"25.041030695658954, 121.51902921323908"
抗雨傘節及飯匙倩蛇毒血清,國立臺灣大學醫學院附設醫院,02-23123456#62237,台北區,台北市,"25.041030695658954, 121.51902921323908"
抗龜殼花及赤尾鮐蛇毒血清,國立臺灣大學醫學院附設醫院,02-23123456#62237,台北區,台北市,"25.041030695658954, 121.51902921323908"
抗雨傘節及飯匙倩蛇毒血清,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院,03-5330133,北區,新竹縣,"24.823675264167083, 120.98216090384972"
抗龜殼花及赤尾鮐蛇毒血清,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院,03-5330133,北區,新竹縣,"24.823675264167083, 120.98216090384972"
抗雨傘節及飯匙倩蛇毒血清,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院 (竹東院區),03-5343248,北區,新竹縣,"24.726105750930497, 121.09168085805061"
抗龜殼花及赤尾鮐蛇毒血清,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院 (竹東院區),03-5343248,北區,新竹縣,"24.726105750930497, 121.09168085805061"
抗雨傘節及飯匙倩蛇毒血清,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,03-5326151#6630,北區,新竹市,"24.81594995109505, 120.98058098255106"
抗龜殼花及赤尾鮐蛇毒血清,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,03-5326151#6630,北區,新竹市,"24.81594995109505, 120.98058098255106"
抗雨傘節及飯匙倩蛇毒血清,國軍台中總醫院附設民眾診療服務處,04-23934191#525420,中區,台中市,"24.152131542838017, 120.7306953726101"
抗龜殼花及赤尾鮐蛇毒血清,國軍台中總醫院附設民眾診療服務處,04-23934191#525420,中區,台中市,"24.152131542838017, 120.7306953726101"
抗百步蛇毒血清,國軍花蓮總醫院附設民眾診療處,03-8263151#815141,東區,花蓮縣,"24.024411398017204, 121.607009889666"
抗雨傘節及飯匙倩蛇毒血清,國軍花蓮總醫院附設民眾診療處,03-8263151#815141,東區,花蓮縣,"24.024411398017204, 121.607009889666"
抗龜殼花及赤尾鮐蛇毒血清,國軍花蓮總醫院附設民眾診療處,03-8263151#815141,東區,花蓮縣,"24.024411398017204, 121.607009889666"
抗雨傘節及飯匙倩蛇毒血清,國軍桃園總醫院,03-4799595#325548,北區,桃園市,"24.877612083247282, 121.23503815926468"
抗龜殼花及赤尾鮐蛇毒血清,國軍桃園總醫院,03-4799595#325548,北區,桃園市,"24.877612083247282, 121.23503815926468"
抗雨傘節及飯匙倩蛇毒血清,國軍高雄總醫院左營分院,07-5817121#2012,高屏區,高雄市,"22.702205827734794, 120.29151145129443"
抗龜殼花及赤尾鮐蛇毒血清,國軍高雄總醫院左營分院,07-5817121#2012,高屏區,高雄市,"22.702205827734794, 120.29151145129443"
抗百步蛇毒血清,國軍高雄總醫院岡山分院,07-6250919#123,高屏區,高雄市,"22.789679849550605, 120.2856306978699"
抗雨傘節及飯匙倩蛇毒血清,國軍高雄總醫院岡山分院,07-6250919#123,高屏區,高雄市,"22.789679849550605, 120.2856306978699"
抗龜殼花及赤尾鮐蛇毒血清,國軍高雄總醫院岡山分院,07-6250919#123,高屏區,高雄市,"22.789679849550605, 120.2856306978699"
抗百步蛇毒血清,國軍高雄總醫院附設民眾診療服務處,07-7496730,高屏區,高雄市,"22.62646282840316, 120.3412987036131"
抗雨傘節及飯匙倩蛇毒血清,國軍高雄總醫院附設民眾診療服務處,07-7496730,高屏區,高雄市,"22.62646282840316, 120.3412987036131"
抗龜殼花及赤尾鮐蛇毒血清,國軍高雄總醫院附設民眾診療服務處,07-7496730,高屏區,高雄市,"22.62646282840316, 120.3412987036131"
抗百步蛇毒血清,國家中山科學研究院石園診所,03-472201#351630,北區,桃園市,"24.839144555938397, 121.24134531720883"
抗雨傘節及飯匙倩蛇毒血清,國家中山科學研究院石園診所,03-472201#351630,北區,桃園市,"24.839144555938397, 121.24134531720883"
抗龜殼花及赤尾鮐蛇毒血清,國家中山科學研究院石園診所,03-472201#351630,北區,桃園市,"24.839144555938397, 121.24134531720883"
抗雨傘節及飯匙倩蛇毒血清,國泰醫療財團法人汐止國泰綜合醫院,02-26482121#2328,台北區,新北市,"25.07284465186943, 121.66120635556808"
抗龜殼花及赤尾鮐蛇毒血清,國泰醫療財團法人汐止國泰綜合醫院,02-26482121#2328,台北區,新北市,"25.07284465186943, 121.66120635556808"
抗雨傘節及飯匙倩蛇毒血清,國泰醫療財團法人國泰綜合醫院,02-27082121#3825,台北區,台北市,"25.037313208418777, 121.55405363492102"
抗龜殼花及赤尾鮐蛇毒血清,國泰醫療財團法人國泰綜合醫院,02-27082121#3825,台北區,台北市,"25.037060656566737, 121.55380887091034"
抗雨傘節及飯匙倩蛇毒血清,國泰醫療財團法人新竹國泰綜合醫院,03-5278999#2796,北區,新竹市,"24.798337260789527, 120.96532238440041"
抗龜殼花及赤尾鮐蛇毒血清,國泰醫療財團法人新竹國泰綜合醫院,03-5278999#2796,北區,新竹市,"24.798337260789527, 120.96532238440041"
抗百步蛇毒血清,康寧醫療財團法人康寧醫院,02-26345500#2926,台北區,台北市,"25.07597844813765, 121.60882082488321"
抗雨傘節及飯匙倩蛇毒血清,康寧醫療財團法人康寧醫院,02-26345500#2926,台北區,台北市,"25.07597844813765, 121.60882082488321"
抗龜殼花及赤尾鮐蛇毒血清,康寧醫療財團法人康寧醫院,02-26345500#2926,台北區,台北市,"25.07597844813765, 121.60882082488321"
抗雨傘節及飯匙倩蛇毒血清,敏盛綜合醫院,03-3179599#7309,北區,桃園市,"25.017164691691082, 121.3063704514657"
抗龜殼花及赤尾鮐蛇毒血清,敏盛綜合醫院,03-3179599#7309,北區,桃園市,"25.017164691691082, 121.3063704514657"
抗雨傘節及飯匙倩蛇毒血清,連江縣北竿衛生所,08-3655592#8871,台北區,連江縣,"26.22337354804799, 119.99622476722664"
抗龜殼花及赤尾鮐蛇毒血清,連江縣北竿衛生所,08-3655592#8871,台北區,連江縣,"26.22337354804799, 119.99622476722664"
抗雨傘節及飯匙倩蛇毒血清,連江縣立醫院,083-623995#2107,台北區,連江縣,"26.161097681018575, 119.94901849976048"
抗龜殼花及赤尾鮐蛇毒血清,連江縣立醫院,083-623995#2107,台北區,連江縣,"26.161097681018575, 119.94901849976048"
抗雨傘節及飯匙倩蛇毒血清,連江縣西莒衛生所,083-689122,台北區,連江縣,"25.968083031191817, 119.93808781510035"
抗龜殼花及赤尾鮐蛇毒血清,連江縣西莒衛生所,083-689122,台北區,連江縣,"25.968083031191817, 119.93808781510035"
抗雨傘節及飯匙倩蛇毒血清,連江縣東引鄉衛生所,083-677206,台北區,連江縣,"26.36750576249727, 120.49053983414716"
抗龜殼花及赤尾鮐蛇毒血清,連江縣東引鄉衛生所,083-677206,台北區,連江縣,"26.36750576249727, 120.49053983414716"
抗雨傘節及飯匙倩蛇毒血清,連江縣東莒衛生所,083-689038#8911,台北區,連江縣,"25.958344658768908, 119.97691158441512"
抗龜殼花及赤尾鮐蛇毒血清,連江縣東莒衛生所,083-689038#8911,台北區,連江縣,"25.958344658768908, 119.97691158441512"
抗雨傘節及飯匙倩蛇毒血清,連江縣衛生局,083-622095#8852,台北區,連江縣,"26.161348318749045, 119.94929415373261"
抗龜殼花及赤尾鮐蛇毒血清,連江縣衛生局,083-622095#8852,台北區,連江縣,"26.161348318749045, 119.94929415373261"
抗雨傘節及飯匙倩蛇毒血清,童綜合醫療社團法人童綜合醫院,04-26581919#4640,中區,台中市,"24.24794470461962, 120.54299820663869"
抗龜殼花及赤尾鮐蛇毒血清,童綜合醫療社團法人童綜合醫院,04-26581919#4640,中區,台中市,"24.24794470461962, 120.54299820663869"
抗百步蛇毒血清,陽明醫院,05-2252000,南區,嘉義市,"23.480707414878953, 120.45364824557156"
抗雨傘節及飯匙倩蛇毒血清,陽明醫院,05-2252000,南區,嘉義市,"23.480707414878953, 120.45364824557156"
抗龜殼花及赤尾鮐蛇毒血清,陽明醫院,05-2252000,南區,嘉義市,"23.480707414878953, 120.45364824557156"
抗雨傘節及飯匙倩蛇毒血清,新北市立土城醫院(委託長庚醫療財團法人興建經營),02-22630588#2597,台北區,新北市,"24.976285941125433, 121.44874605556697"
抗龜殼花及赤尾鮐蛇毒血清,新北市立土城醫院(委託長庚醫療財團法人興建經營),02-22630588#2597,台北區,新北市,"24.976285941125433, 121.44874605556697"
抗百步蛇毒血清,新北市立聯合醫院三重院區,02-29829111#3152,台北區,新北市,"25.06087424730427, 121.49053491138983"
抗雨傘節及飯匙倩蛇毒血清,新北市立聯合醫院三重院區,02-29829111#3152,台北區,新北市,"25.06087424730427, 121.49053491138983"
抗龜殼花及赤尾鮐蛇毒血清,新北市立聯合醫院三重院區,02-29829111#3152,台北區,新北市,"25.06087424730427, 121.49053491138983"
抗雨傘節及飯匙倩蛇毒血清,新北市貢寮區衛生所,02-24901431,台北區,新北市,"25.055098738092877, 121.92752475556799"
抗龜殼花及赤尾鮐蛇毒血清,新北市貢寮區衛生所,02-24901431,台北區,新北市,"25.055098738092877, 121.92752475556799"
抗百步蛇毒血清,新光醫療財團法人新光吳火獅紀念醫院,02-28332211,台北區,台北市,"25.096454703637715, 121.52031745278153"
抗雨傘節及飯匙倩蛇毒血清,新光醫療財團法人新光吳火獅紀念醫院,02-28332211,台北區,台北市,"25.096454703637715, 121.52031745278153"
抗龜殼花及赤尾鮐蛇毒血清,新光醫療財團法人新光吳火獅紀念醫院,02-28332211,台北區,台北市,"25.096454703637715, 121.52031745278153"
抗龜殼花及赤尾鮐蛇毒血清,新竹馬偕紀念醫院,03-6119595#3210,北區,新竹市,"24.800441795842566, 120.9907439113866"
抗百步蛇毒血清,新竹縣五峰鄉衛生所,03-5851005,北區,新竹縣,"24.631623873859382, 121.11924631138456"
抗雨傘節及飯匙倩蛇毒血清,新竹縣五峰鄉衛生所,03-5851005,北區,新竹縣,"24.631623873859382, 121.11924631138456"
抗龜殼花及赤尾鮐蛇毒血清,新竹縣五峰鄉衛生所,03-5851005,北區,新竹縣,"24.631623873859382, 121.11924631138456"
抗雨傘節及飯匙倩蛇毒血清,新竹縣尖石鄉衛生所,03-5842356,北區,新竹縣,"24.70585314551135, 121.20236339789246"
抗龜殼花及赤尾鮐蛇毒血清,新竹縣尖石鄉衛生所,03-5842356,北區,新竹縣,"24.70585314551135, 121.20236339789246"
抗百步蛇毒血清,義大醫療財團法人義大醫院,07-6150011#257010,高屏區,高雄市,"22.76597593600509, 120.36436622670533"
抗雨傘節及飯匙倩蛇毒血清,義大醫療財團法人義大醫院,07-6150011#257010,高屏區,高雄市,"22.76597593600509, 120.36436622670533"
抗龜殼花及赤尾鮐蛇毒血清,義大醫療財團法人義大醫院,07-6150011#257010,高屏區,高雄市,"22.76597593600509, 120.36436622670533"
抗百步蛇毒血清,嘉義縣大埔鄉衛生所,05-2521214,南區,嘉義縣,"23.295280322193424, 120.59324384020432"
抗雨傘節及飯匙倩蛇毒血清,嘉義縣大埔鄉衛生所,05-2521214,南區,嘉義縣,"23.295280322193424, 120.59324384020432"
抗龜殼花及赤尾鮐蛇毒血清,嘉義縣大埔鄉衛生所,05-2521214,南區,嘉義縣,"23.295280322193424, 120.59324384020432"
抗百步蛇毒血清,嘉義縣阿里山鄉衛生所,05-2561573,南區,嘉義縣,"23.455526015751847, 120.74889264586167"
抗雨傘節及飯匙倩蛇毒血清,嘉義縣阿里山鄉衛生所,05-2561573,南區,嘉義縣,"23.455526015751847, 120.74889264586167"
抗龜殼花及赤尾鮐蛇毒血清,嘉義縣阿里山鄉衛生所,05-2561573,南區,嘉義縣,"23.455526015751847, 120.74889264586167"
抗百步蛇毒血清,嘉義縣梅山鄉衛生所,05-2621049,南區,嘉義縣,"23.58655929142918, 120.55559954541599"
抗雨傘節及飯匙倩蛇毒血清,嘉義縣梅山鄉衛生所,05-2621049,南區,嘉義縣,"23.58655929142918, 120.55559954541599"
抗龜殼花及赤尾鮐蛇毒血清,嘉義縣梅山鄉衛生所,05-2621049,南區,嘉義縣,"23.58655929142918, 120.55559954541599"
抗百步蛇毒血清,嘉義縣衛生局,05-3620600#254,南區,嘉義縣,"23.457595553347215, 120.29308742671316"
抗龜殼花及赤尾鮐蛇毒血清,嘉義縣衛生局,05-3620600#254,南區,嘉義縣,"23.457595553347215, 120.29308742671316"
抗雨傘節及飯匙倩蛇毒血清,彰化基督教醫療財團法人二林基督教醫院,04-8952031#8178,中區,彰化縣,"23.893693687517366, 120.36338019788255"
抗龜殼花及赤尾鮐蛇毒血清,彰化基督教醫療財團法人南投基督教醫院,049-2225595,中區,南投縣,"23.898923911411025, 120.6839588690468"
抗雨傘節及飯匙倩蛇毒血清,彰化基督教醫療財團法人彰化基督教醫院,04-7238595#3158,中區,彰化縣,"24.071284347101457, 120.54440744766303"
抗龜殼花及赤尾鮐蛇毒血清,彰化基督教醫療財團法人彰化基督教醫院,04-7238595#3158,中區,彰化縣,"24.071284347101457, 120.54440744766303"
抗百步蛇毒血清,臺中市政府衛生局,04-25265394#3585,中區,台中市,"24.248143783465224, 120.71370104094913"
抗百步蛇毒血清,臺中榮民總醫院,04-23592525#4607,中區,台中市,"24.18465373304618, 120.60445795370785"
抗雨傘節及飯匙倩蛇毒血清,臺中榮民總醫院,04-23592525#4607,中區,台中市,"24.18465373304618, 120.60445795370785"
抗龜殼花及赤尾鮐蛇毒血清,臺中榮民總醫院,04-23592525#4607,中區,台中市,"24.18465373304618, 120.60445795370785"
抗鎖鏈蛇毒血清,臺中榮民總醫院,04-23592525#4607,中區,台中市,"24.18465373304618, 120.60445795370785"
抗雨傘節及飯匙倩蛇毒血清,臺中榮民總醫院埔里分院,049-2990833#3073,中區,南投縣,"23.975885523383617, 120.99586677292798"
抗龜殼花及赤尾鮐蛇毒血清,臺中榮民總醫院埔里分院,049-2990833#3073,中區,南投縣,"23.975885523383617, 120.99586677292798"
抗雨傘節及飯匙倩蛇毒血清,臺中榮民總醫院嘉義分院,05-2359630#1801,南區,嘉義市,"23.46637424501775, 120.42317409972705"
抗龜殼花及赤尾鮐蛇毒血清,臺中榮民總醫院嘉義分院,05-2359630#1801,南區,嘉義市,"23.46637424501775, 120.42317409972705"
抗雨傘節及飯匙倩蛇毒血清,臺中榮民總醫院灣橋分院,05-2791072#7109,南區,嘉義縣,"23.487249524663415, 120.50687311322041"
抗龜殼花及赤尾鮐蛇毒血清,臺中榮民總醫院灣橋分院,05-2791072#7109,南區,嘉義縣,"23.487249524663415, 120.50687311322041"
抗雨傘節及飯匙倩蛇毒血清,臺北市立萬芳醫院-委託財團法人臺北醫學大學辦理,02-29307930#1160,台北區,台北市,"25.00003939117451, 121.55816365556724"
抗龜殼花及赤尾鮐蛇毒血清,臺北市立萬芳醫院-委託財團法人臺北醫學大學辦理,02-29307930#1160,台北區,台北市,"24.999949258500575, 121.55816603347053"
抗雨傘節及飯匙倩蛇毒血清,臺北市立聯合醫院中興院區,02-25523234#3030,台北區,台北市,"25.051333001569056, 121.50935941906098"
抗龜殼花及赤尾鮐蛇毒血清,臺北市立聯合醫院中興院區,02-25523234#3030,台北區,台北市,"25.051245525486618, 121.50946670741736"
抗龜殼花及赤尾鮐蛇毒血清,臺北市立聯合醫院忠孝院區,02-27861288#8092,台北區,台北市,"25.046737082637446, 121.58619404207472"
抗雨傘節及飯匙倩蛇毒血清,臺北市立聯合醫院陽明院區,02-28353456#5134,台北區,台北市,"25.105458120657694, 121.53214653609649"
抗龜殼花及赤尾鮐蛇毒血清,臺北市立聯合醫院陽明院區,02-28353456#5134,台北區,台北市,"25.105097014533293, 121.53137280796483"
抗百步蛇毒血清,臺北榮民總醫院,02-28757437,台北區,台北市,"25.11987054692191, 121.52019129789761"
抗雨傘節及飯匙倩蛇毒血清,臺北榮民總醫院,02-28757437,台北區,台北市,"25.11987054692191, 121.52019129789761"
抗龜殼花及赤尾鮐蛇毒血清,臺北榮民總醫院,02-28757437,台北區,台北市,"25.11987054692191, 121.52019129789761"
抗鎖鏈蛇毒血清,臺北榮民總醫院,02-28757437,台北區,台北市,"25.11987054692191, 121.52019129789761"
抗百步蛇毒血清,臺北榮民總醫院玉里分院,03-8883141#387,東區,花蓮縣,"23.339319578683135, 121.31196574085662"
抗雨傘節及飯匙倩蛇毒血清,臺北榮民總醫院玉里分院,03-8883141#387,東區,花蓮縣,"23.339319578683135, 121.31196574085662"
